SampleID	oral	Unknown
S_i03_S_M01	0.14109999999999998	0.8589
S_i05_S_M01	0.33280000000000004	0.6672
S_i07_S_M01	0.1762	0.8238
S_i11_S_M01	0.11280000000000001	0.8872
S_i31_S_M01	0.022199999999999994	0.9777999999999999
S_i20_S_M01	0.27390000000000003	0.7261
S_i24_S_M01	0.19970000000000004	0.8003
S_i29_S_M01	0.0066	0.9934000000000001
S_i02_S_M01	0.2097	0.7903
S_i19_S_M01	0.0696	0.9304000000000002
S_i14_S_M01	0.1153	0.8847000000000002
S_i16_S_M01	0.0402	0.9597999999999999
S_i23_S_M01	0.5003	0.4997
S_i28_S_M01	0.2218	0.7782000000000001
S_i21_S_M01	0.2012	0.7988
S_i30_S_M01	0.12310000000000001	0.8769
S_i09_S_M01	0.054000000000000006	0.946
S_i01_S_M01	0.038299999999999994	0.9617000000000001
S_i27_S_M01	0.05550000000000001	0.9444999999999999
S_i08_S_M01	0.4021	0.5978999999999999
S_i18_S_M01	0.015200000000000002	0.9847999999999999
S_i22_S_M01	0.1467	0.8533000000000002
S_i25_S_M01	0.1688	0.8311999999999999
S_i06_S_M01	0.19780000000000003	0.8021999999999998
S_i15_S_M01	0.25199999999999995	0.748
S_i26_S_M01	0.2169	0.7831
S_i10_S_M01	0.1975	0.8025
S_i12_S_M01	0.2546	0.7454000000000001
S_i04_S_M01	0.21020000000000003	0.7898
