SampleID	oral	Unknown
S_i26_S_M08	0.004200000000000001	0.9958
S_i03_S_M08	0.0075000000000000015	0.9925
S_i15_S_M08	0.0068000000000000005	0.9931999999999999
S_i28_S_M08	0.019299999999999998	0.9806999999999999
S_i27_S_M08	0.049699999999999994	0.9502999999999998
S_i23_S_M08	0.055200000000000006	0.9447999999999999
S_i25_S_M08	0.021599999999999998	0.9783999999999999
S_i18_S_M08	0.017000000000000005	0.983
S_i10_S_M08	0.0049	0.9950999999999999
S_i08_S_M08	0.0038000000000000004	0.9962
S_i09_S_M08	0.0036000000000000003	0.9964000000000001
S_i22_S_M08	0.0162	0.9837999999999999
S_i01_S_M08	0.0021000000000000003	0.9978999999999999
S_i07_S_M08	0.016100000000000003	0.9839
S_i12_S_M08	0.0047	0.9953
S_i02_S_M08	0.0025	0.9974999999999999
S_i16_S_M08	0.0035000000000000005	0.9964999999999999
S_i29_S_M08	0.0023	0.9977
S_i31_S_M08	0.0052	0.9947999999999999
S_i21_S_M08	0.0006000000000000001	0.9994
S_i19_S_M08	0.027199999999999995	0.9727999999999998
S_i24_S_M08	0.0029000000000000002	0.9971
S_i30_S_M08	0.004	0.9959999999999999
S_i05_S_M08	0.014300000000000004	0.9857000000000001
S_i20_S_M08	0.0209	0.9790999999999999
