SampleID	oral	Unknown
S_i08_S_M02	0.031900000000000005	0.9681
S_i14_S_M02	0.0794	0.9206
S_i12_S_M02	0.0358	0.9642
S_i15_S_M02	0.2926	0.7074
S_i01_S_M02	0.003	0.9969999999999999
S_i16_S_M02	0.015700000000000002	0.9843
S_i20_S_M02	0.003999999999999999	0.9960000000000001
S_i10_S_M02	0.0066	0.9934
S_i03_S_M02	0.009699999999999999	0.9903000000000001
S_i09_S_M02	0.0079	0.9921
S_i22_S_M02	0.0258	0.9742
S_i18_S_M02	0.0075	0.9925
S_i23_S_M02	0.025500000000000002	0.9744999999999999
S_i11_S_M02	0.1109	0.8891000000000002
S_i21_S_M02	0.0121	0.9879
S_i07_S_M02	0.0237	0.9763
S_i02_S_M02	0.016800000000000002	0.9832000000000001
S_i30_S_M02	0.014500000000000002	0.9854999999999998
S_i26_S_M02	0.0060999999999999995	0.9939
S_i25_S_M02	0.0126	0.9874
S_i06_S_M02	0.0013000000000000002	0.9987
S_i29_S_M02	0.0037000000000000006	0.9963000000000001
S_i04_S_M02	0.018900000000000004	0.9810999999999999
S_i28_S_M02	0.003999999999999999	0.9959999999999999
S_i31_S_M02	0.0037000000000000006	0.9963000000000001
S_i27_S_M02	0.020999999999999998	0.9790000000000001
S_i19_S_M02	0.022699999999999998	0.9773
S_i05_S_M02	0.028200000000000003	0.9717999999999998
S_i24_S_M02	0.0403	0.9597
