SampleID	oral	Unknown
S_i23_S_M09	0.0037000000000000006	0.9963
S_i27_S_M09	0.0053	0.9947000000000003
S_i11_S_M09	0.0595	0.9404999999999999
S_i29_S_M09	0.0016	0.9984
S_i03_S_M09	0.0167	0.9833000000000001
S_i06_S_M09	0.011199999999999998	0.9888
S_i15_S_M09	0.0021000000000000003	0.9978999999999999
S_i14_S_M09	0.0032000000000000006	0.9968
S_i28_S_M09	0.03730000000000001	0.9627000000000001
S_i08_S_M09	0.010699999999999998	0.9893000000000001
S_i21_S_M09	0.0032	0.9968
S_i09_S_M09	0.016800000000000002	0.9832000000000001
S_i10_S_M09	0.0032	0.9968
S_i16_S_M09	0.0032	0.9968
S_i31_S_M09	0.0038	0.9962000000000002
S_i24_S_M09	0.0070999999999999995	0.9929
S_i25_S_M09	0.007600000000000001	0.9924
S_i02_S_M09	0.0075000000000000015	0.9924999999999999
S_i19_S_M09	0.015600000000000003	0.9844000000000002
S_i01_S_M09	0.0036000000000000003	0.9963999999999998
S_i30_S_M09	0.004	0.9960000000000001
S_i05_S_M09	0.006	0.9940000000000001
S_i26_S_M09	0.0046	0.9954000000000001
S_i22_S_M09	0.0055000000000000005	0.9945000000000002
S_i12_S_M09	0.0046	0.9953999999999998
S_i18_S_M09	0.0024000000000000002	0.9975999999999999
