SampleID	oral	Unknown
S_i24_S_M10	0.046599999999999996	0.9534
S_i05_S_M10	0.0093	0.9907
S_i27_S_M10	0.0099	0.9901
S_i02_S_M10	0.0061	0.9939
S_i12_S_M10	0.007300000000000001	0.9926999999999999
S_i16_S_M10	0.0024000000000000002	0.9976
S_i22_S_M10	0.0201	0.9799000000000001
S_i29_S_M10	0.0021000000000000003	0.9978999999999999
S_i04_S_M10	0.0045000000000000005	0.9955
S_i06_S_M10	0.010499999999999999	0.9894999999999999
S_i15_S_M10	0.0062	0.9937999999999999
S_i07_S_M10	0.0066	0.9934
S_i20_S_M10	0.0257	0.9743000000000002
S_i26_S_M10	0.0024000000000000002	0.9976
S_i01_S_M10	0.0081	0.9918999999999999
S_i18_S_M10	0.004600000000000002	0.9954000000000001
S_i30_S_M10	0.0032	0.9968
S_i21_S_M10	0.007399999999999999	0.9925999999999998
S_i14_S_M10	0.0019	0.9981
S_i31_S_M10	0.0042	0.9958
S_i19_S_M10	0.026699999999999995	0.9733
S_i23_S_M10	0.007000000000000002	0.993
S_i08_S_M10	0.004200000000000001	0.9957999999999998
S_i11_S_M10	0.03679999999999999	0.9632
S_i03_S_M10	0.0127	0.9873000000000001
S_i09_S_M10	0.006500000000000001	0.9935
