SampleID	oral	Unknown
S_i23_S_M11	0.0103	0.9897
S_i26_S_M11	0.0067	0.9933
S_i06_S_M11	0.026000000000000002	0.9739999999999999
S_i02_S_M11	0.0036	0.9964000000000001
S_i15_S_M11	0.005699999999999999	0.9943
S_i11_S_M11	0.0093	0.9907
S_i28_S_M11	0.017400000000000002	0.9826
S_i25_S_M11	0.0055	0.9944999999999998
S_i09_S_M11	0.016599999999999997	0.9834000000000002
S_i31_S_M11	0.007999999999999998	0.9919999999999998
S_i10_S_M11	0.0109	0.9891
S_i16_S_M11	0.0013000000000000002	0.9987
S_i04_S_M11	0.0071	0.9928999999999999
S_i19_S_M11	0.0018000000000000002	0.9982
S_i12_S_M11	0.0131	0.9869000000000001
S_i05_S_M11	0.0062	0.9937999999999999
S_i03_S_M11	0.0059	0.9940999999999999
S_i01_S_M11	0.0010000000000000002	0.999
S_i14_S_M11	0.0064	0.9936000000000001
S_i29_S_M11	0.0019000000000000002	0.9981
S_i20_S_M11	0.0075000000000000015	0.9924999999999999
S_i18_S_M11	0.016099999999999996	0.9838999999999999
S_i24_S_M11	0.020099999999999996	0.9799
S_i07_S_M11	0.0059	0.9941000000000001
